Category,Overheads
Salary Expense,24.32
Interest Expense ,3.22
Marketing Expense,2.56
Rental Expense,22.14
Overflow Expense - Retail,3.63
Penalty Expense,2.4
Depreciation Expense,16.82
Maintenance Expense,9.39
Shipping Expense,1.18
Human Resource Expense,14.34
